¹ØÏµ,»¥¶¯Ç¿¶È,½»Åä,Ç×ÃÜÐÔ,´ú¹µÆÀ¹À,ÒÀÁµ,ÐÅÈÎÆÀ¹À,ÐÅÏ¢´«µÝ,¹²ÓÐÊ½·ÖÏí,¹ØÏµÐ§¼Û,¾ßÌåÐÔ,³åÍ»,¿É¼ûÐÔ,Í¬²½ÐÔ,Æ·µÂÆÀ¹À,ÉÌÆ·½»»»,¶ÔÏà¹ØÈËÔ±µÄÖØÒªÐÔ,¶ÔÉç»áµÄÖØÒªÐÔ,Æ½µÈÐÔ,Ç¿ÆÈ,³Ö¾ÃÐÔ,·þÎñ½»»»,ÆÚ´ý»¥»ÝÐÔ,ÕýÊ½ÐÔ,°®µÄ±í´ï,¶ÀÌØÐÔ,ÀíÐÔ,Éç»áÇé¸ÐÐÔ,»ý¼«ÐÔ,¿Õ¼ä¾àÀë,Ö°ÒµÐÔ,ÁªÃË/ÁªºÏ×éÖ¯,Ì¸ÅÐ,½ðÇ®½»»»
²®¸¸-Ö¶×Ó,0.541363809,-0.418875108,0.065200232,0.452655667,0.172675708,0.477986605,0.080846083,-1.175316563,0.548077363,1.047766228,0.154396317,0.757778318,1.372090486,-0.659791099,0.550910774,0.563758593,0.343230642,-0.557073704,0.502559361,0.144113778,0.453585107,1.336048817,-0.051807263,0.020132627,0.03983958,0.614013742,-2.210200215,-0.685794843,-0.025279087,2.115040873,1.441715676,0.855458134,0.903088897
ÐÖÃÃ,0.88791864,0.639538712,1.025310476,-0.915745614,0.877153827,0.872867163,0.637763409,0.082196655,-0.288610812,-0.940813236,-0.548964683,0.697644296,0.538930229,-0.124354733,-0.712950551,0.312764898,1.003638663,0.035109214,-0.348181093,0.240195417,-0.281949494,-0.409600227,0.249998501,0.971012733,0.161266935,-0.36081287,0.365205959,0.526698087,0.315243966,-0.458681746,0.48767612,0.2287415,-0.533044534
ÐÖµÜ,1.276662756,-0.949298585,0.342893657,-1.34499149,0.367761956,0.981093686,0.749146874,-0.247696423,-0.798060945,0.552151038,1.027138129,0.018129838,1.629612747,0.771284278,-0.556472482,0.717701392,1.159306268,0.564957088,-0.239286315,0.304249842,-0.284624165,0.174144813,0.234908213,0.436708674,0.768403711,0.165326424,0.585017696,1.092528121,1.247572603,-1.196018496,-0.755153789,-0.077329415,-0.682641767
¹«¹«-¶ùÏ±,0.734229106,-0.238823101,-1.32326689,0.700408321,-0.737726784,0.279083806,-0.171623104,-0.744169174,0.615012417,0.674525159,1.406091811,0.763791721,-0.087202328,0.596050559,0.213881088,0.958655339,0.074350233,-0.698366471,1.353299816,0.09927568,1.994195763,1.414253894,1.230867235,-1.302043519,-1.876014244,-0.005602077,-0.425460141,0.063746241,0.298804922,0.584719316,-0.827351377,0.948736889,0.358554971
ÑøÄ¸-ÑøÅ®,1.035581134,-0.530799328,0.354710398,0.389277082,0.313571332,0.056780677,0.036292697,0.967355309,0.287774375,-0.353417456,0.257747321,-1.966292916,0.215765038,-0.280118039,-0.424067962,-0.313046047,-0.821917796,-0.365912903,0.468529743,-0.643755657,-0.284624165,-0.09398688,0.788218781,0.617828694,0.07761698,-0.02696814,0.453786808,0.401774573,0.505467189,0.45487385,0.802251325,-0.275546769,-0.120156173
ÑøÄ¸-Ñø×Ó,-0.704224571,-0.053904825,-0.653651541,-0.113910477,-0.459548245,-0.887032606,-0.612206588,-0.870464874,-2.166510937,0.36451072,2.604197895,-2.178766463,-0.083836024,-0.903171265,0.591033356,-0.451371461,0.508332647,-1.221980841,3.395076908,-1.446571126,-0.723270255,0.591238558,-0.328462547,-1.23764529,0.048834199,0.560598585,-1.072865854,-1.15119617,-0.612387801,-0.528241817,-0.724211965,0.855458134,0.933008344
Ñø¸¸-ÑøÅ®,-0.694179503,0.89501791,-0.141592744,0.60390002,-0.260849288,-0.516527392,0.192229548,-1.224310585,-0.400169235,-1.124374417,0.25487646,-0.36973461,-0.660315596,0.094687416,0.445588997,-0.272887056,0.307851641,-1.305094233,0.757781498,-1.777518992,-0.495923196,0.079181505,0.564379505,-1.383547528,0.485073216,0.226753855,-2.095373188,-0.428599373,0.585313975,1.141199882,-0.427686157,0.826308523,0.828290281
Ñø¸¸-Ñø×Ó,1.204338269,3.449809888,0.892372135,1.28810066,1.066821013,0.945993192,1.380319843,0.686456253,-0.009714753,-1.52209031,-0.247524254,0.15643809,-0.647691955,0.849165931,-1.164329595,0.99881433,0.154542636,-1.159645796,-0.04191453,1.393175079,0.159371267,-1.624571961,0.17454706,0.925732728,1.092209991,-0.507704551,0.742494761,1.408511126,1.078485294,-0.481868436,-1.781390933,-1.126715408,-1.131433464
ÔÙ´ÓÐÖ-ÔÙ´ÓµÜ,-0.87499072,-1.148815673,-1.175557622,-1.304659663,-0.315039912,-0.48727698,0.22935737,-1.371292649,-1.088112845,1.934978604,1.618535541,-2.218855812,-0.647691955,-0.027002667,0.490726902,-1.076066879,0.343230642,-0.536295356,2.680454926,0.016004927,0.426838394,1.447770356,0.727857628,-0.825094133,0.633484427,0.827674369,-1.586853498,-0.796021473,-1.622214788,2.578774678,-0.260084614,2.429537124,0.573974986
Êå-É©,-0.804675247,0.238071401,-1.815631118,-1.419893455,-0.296976371,0.341484684,0.377868657,-0.369637099,0.981915676,0.221740912,-0.362358703,-0.835773287,0.757739993,0.62201111,0.791646265,-0.696787518,-0.922551399,0.661922712,-0.983400633,0.624521971,1.345142199,0.069871377,-0.177559665,0.150941531,0.012855724,-0.044773192,0.764366576,0.68591433,-0.393200548,-1.208384731,-0.22570481,-0.368825524,0.813330558
ÊåÄ¸-Ö¶Å®,0.029065362,-0.16339591,0.050429305,1.021622516,0.145580396,0.097731254,-0.049101293,-0.571056965,0.362146658,0.894798577,-0.204461336,1.148649467,-0.294230028,0.630123782,-0.201387633,0.429895289,0.319644641,-0.016836656,-0.841610557,0.384317875,0.025637703,0.274694198,0.249998501,0.035225962,0.606500571,0.694136477,0.430821403,0.342987037,-0.401028664,-0.574615197,0.745524648,-0.193927859,0.708612495
ÊåÄ¸-Ö¶×Ó,-1.809182005,-1.173147025,0.508328037,0.308613427,0.281056957,0.126981665,0.080846083,-1.240641925,1.254614044,0.588863275,0.154396317,-0.234433058,1.447832327,0.265053533,0.972197883,0.195634507,0.744192655,-0.515517008,-0.075944148,0.304249842,1.309479916,0.498137276,0.778158588,-0.251547403,-0.958563117,1.361825937,0.020724878,-0.171403903,0.937579203,3.274375386,0.100903327,1.67164724,1.292041702
Êå¸¸-Ö¶Å®,1.023527053,0.603041684,-0.141592744,0.7119317,0.877153827,0.56573784,0.823402517,0.719118934,1.180241762,-1.399716189,-0.879113724,-0.47496915,1.675057852,0.703137832,0.641186583,0.630690245,0.697020653,-0.931083968,-0.518329184,0.816685248,-1.632658489,-1.456989653,-1.183578879,1.076666078,0.822371424,-0.961733384,0.873725649,0.379729247,0.233048747,-0.157254772,0.358751855,-0.631172022,-1.011755678
Êå¸¸-Ö¶×Ó,0.782445431,-1.173147025,1.099165111,0.85597394,1.419060072,-0.048520805,0.897658161,0.58846821,-0.381576164,-2.103367384,-1.568120417,0.547309238,-2.086786945,0.459757666,-2.638834474,0.664156071,-1.331375412,0.731183872,-1.437128876,-0.144131137,-2.167592744,1.391909586,1.432071078,0.472932678,1.254113131,2.109638132,0.348802098,0.196018197,-1.692667833,-1.362962666,-0.208514908,-1.534809961,-1.879419627
Í¬Ä¸Òì¸¸ÐÖ-Í¬Ä¸Òì¸¸ÃÃ,-0.633909098,-0.978496207,-0.082509036,-1.319063887,0.660391329,-0.019270393,-0.067665204,0.425154805,-1.348415833,1.35370153,2.135290562,-1.046242367,-0.597197394,-1.633311763,-0.321755379,-0.005160449,0.060198633,0.9597457,2.510306835,-2.065763907,-1.284951223,0.470206891,0.249998501,-0.794907463,0.255710434,0.934504682,-0.340160064,-0.649052633,-0.847231286,-1.038349002,1.003373177,1.788245684,0.424377753
Í¬Ä¸Òì¸¸ÐÖ-Í¬Ä¸Òì¸¸µÜ,-0.995531531,0.432722219,-1.32326689,-1.347872335,0.443628831,-0.721280273,0.266485192,-0.097448091,-2.426813924,-0.05360086,2.077873337,-0.144232024,1.220606803,-1.876691929,-0.020836016,-0.339818708,-0.482279385,-0.536295356,1.897773707,-0.880757032,1.496706905,0.637789199,1.256017715,-1.730694234,0.174758864,1.762439613,-2.046161605,-2.449420923,1.101969642,1.373066785,0.926018619,2.050592182,0.753491665
Í¬Ä¸Òì¸¸½ã-Í¬Ä¸Òì¸¸ÃÃ,-0.54350349,-0.248555642,-0.230218305,-1.232638543,-0.721469596,-1.394039742,-1.032988568,-1.567268735,-2.538372348,0.160553852,2.307542235,-0.715505241,0.033984619,-2.022720029,-0.682858614,-1.042601053,-0.458693384,0.419508652,0.842855543,-1.777518992,-0.562789978,0.079181505,-1.057826477,-1.187334173,-0.877611547,-0.053675719,-0.897891337,-1.604350093,-0.447997361,-0.296374914,0.358751855,1.875694517,-0.592883427
Í¬Ä¸Òì¸¸½ã-Í¬Ä¸Òì¸¸µÜ,0.300282187,0.432722219,-0.363156646,-1.290255439,-0.206658663,0.185482489,0.173665638,-0.228098815,-1.850428737,0.129960321,0.455836746,-1.256711447,-0.799175638,-0.976185315,-0.111111824,-0.841806098,-0.800690395,0.606513784,0.434500125,0.080059353,-0.134842574,0.693649969,-0.164984425,-1.021307488,0.066823437,-0.240628767,-0.208929176,-0.832763683,0.056916133,0.607906006,0.178257885,0.155867472,-0.054333391
Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸ÃÃ,-0.945306193,-0.78384539,-1.008153785,-1.285454031,-0.965327407,-1.316038644,-1.30525926,-1.349517529,-2.687116912,-0.349338319,2.393668072,-2.058498418,0.185468302,-1.974043996,1.313239827,-1.700762297,-0.63951939,-0.5986304,2.555679659,-0.84872982,1.309479916,-0.414255291,-0.026656783,-1.016276377,-0.238993605,0.346937958,-1.729020293,-1.37164943,0.154767585,-0.899228861,-0.689832161,0.972056578,1.252149107
Í¬¸¸ÒìÄ¸ÐÖ-Í¬¸¸ÒìÄ¸µÜ,-0.001069841,-0.540531868,0.006116525,-1.11740475,0.091389771,0.03923043,1.120425091,-0.293424177,0.808380351,-0.390129692,-0.764279275,-1.046242367,1.0943704,0.557109732,1.092565628,0.095237029,0.366816643,1.354534313,-0.450269948,-0.336294414,0.186117979,-0.395635035,-0.253011106,-0.311920743,-0.176031273,0.159984909,-0.340160064,-0.061177273,1.829984447,1.233946643,-0.053805791,-0.368825524,-0.263769516
Í¬¸¸ÒìÄ¸½ã-Í¬¸¸ÒìÄ¸ÃÃ,0.099380835,1.081558276,0.409855192,-1.170220239,-0.495675328,-0.848032057,-0.438943421,-0.696263909,-0.728646814,-0.349338319,1.053932834,-0.835773287,0.202299822,-3.044916726,0.711401101,-0.429060911,-0.765311394,1.202159761,0.468529743,-1.33981375,0.150455696,0.460896763,-0.211093639,-0.352169636,0.210737339,0.418158167,-0.307352342,-1.102206556,1.172422688,-0.002676837,-0.913300886,1.691080314,0.753491665
ÌÃ²®-ÌÃÖ¶,0.059200565,-0.637857277,0.626495452,0.222188083,0.064294459,-0.048520805,-0.290432134,-0.522062944,0.213402093,0.711237395,-0.764279275,0.306773147,0.993381278,-0.903171265,-0.592582805,-0.0720921,1.027224664,0.274060216,-0.756536512,0.04803214,0.079131128,0.330554968,-0.076957744,-0.553414103,1.092209991,-0.881610649,-0.569814117,0.710409137,-0.988137377,-0.435495056,1.39014597,-0.718620855,0.334619414
ÌÃÐÖÃÃ,1.867312729,0.262402753,1.512751062,-0.90134139,0.172675708,1.150746074,0.340740835,1.078408425,0.510891222,-1.49149678,-0.075272581,-0.354701104,1.59931601,0.849165931,0.249991411,1.199609286,1.475358678,1.645431185,-0.756536512,1.040875738,-1.151217659,-0.311843881,-1.711738966,0.382372668,0.012855724,-1.255516747,1.070571981,1.077831237,0.538345277,-0.064508011,2.137906704,-0.806069688,-0.892077892
ÌÃÐÖµÜ,0.511228606,-0.321549699,0.596953598,-1.261446991,-0.450516474,-0.282524098,0.526379944,-0.456737582,-0.716251434,-0.11478792,0.671151337,0.36690717,-0.571950114,-0.270382833,0.189807539,0.061771203,-0.199247376,0.876632308,0.060174325,-1.040893097,-1.204711085,1.028814585,0.929061471,-0.583600773,-0.256982843,-0.053675719,-0.930699059,-0.244888323,-1.316918257,0.399225794,1.725349058,0.768009302,0.304699967
ÌÃ½ã·ò-ÌÃÄÚµÜ,-0.724314706,-0.808176742,-0.880139085,-0.454810446,-1.019518031,-0.31177451,-1.032988568,-0.783364391,-0.864995998,0.894798577,-0.333650091,0.336840159,-1.152637566,0.021673367,-0.562490869,0.229100333,0.366816643,-0.307733528,-1.266980785,-0.40034884,-1.4454315,0.190903044,0.023644178,-0.553414103,0.768403711,-0.854903071,-0.372967785,0.196018197,-0.14270083,-1.362962666,-0.878921082,-1.010116964,-0.65272232
ÌÃ½ãÃÃ,0.405755396,-0.735182686,0.404931549,-0.670873806,-0.04408679,0.302484135,1.250372467,-0.375080879,0.715414998,0.63475357,-0.333650091,-0.219399553,-0.508831913,1.092546097,0.475680934,0.463361115,0.508332647,1.593485315,-1.045788266,0.832698854,-0.602910047,0.037285928,-0.793746434,0.321999328,-0.068095846,-0.774780335,0.955744954,0.894120187,-0.154443004,-0.945602241,0.642385237,-1.257888657,-0.832238999
ÌÃ½ãµÜ,0.752310228,-0.151230234,0.006116525,-1.030979406,0.497819455,0.2147329,0.192229548,0.621130891,0.287774375,-0.267755571,0.585025501,0.246639124,1.0943704,-1.000523331,0.761554328,0.262566159,0.90929466,1.042859093,1.183151725,-0.304267201,0.988519362,1.336048817,0.124246099,0.110692637,0.28269429,0.533891006,0.151955766,0.012307147,1.055000945,0.491972555,1.312791412,1.700796851,1.082605576
ÌÃ×æÄ¸-ÌÃÖ¶Ëï,0.541363809,-1.173147025,0.803746574,1.28810066,0.714581953,0.126981665,0.00659044,0.392492124,-0.009714753,0.680643865,-0.391067316,0.216572113,-0.900164761,0.265053533,-0.622674742,-0.205955404,0.29605864,-0.660965444,1.217181343,-0.752648181,1.790920746,0.190903044,-0.52966639,0.352185998,-0.60777298,-1.068563698,-0.241736898,-0.391857163,0.679251369,1.373066785,-0.621072554,0.738859691,-0.23385007
ÌÃ×æ¸¸-ÌÃÖ¶Ëï,1.505690296,-0.394543755,0.685579159,0.308613427,1.798394443,1.882006365,1.640214595,1.372372554,-0.2328316,3.036345691,-0.649444826,1.389185558,-1.278873968,0.654461798,2.175875335,1.33347259,1.593288682,1.312977617,0.53658898,0.752630822,2.593322129,1.727074203,1.884779724,1.197412758,1.254113131,-0.988440963,0.742494761,1.445253336,1.923921841,0.213732272,-1.549327257,0.214166694,3.087208492
ÍâÔø×æÄ¸-ÍâÔøËï,0.77039135,0.101815829,1.240966008,0.896305767,1.0397257,1.706503895,0.957062675,1.529153422,1.001748284,0.307402797,-0.993948173,0.583389652,0.08447918,0.907577171,0.213881088,-0.125637422,0.546070248,-0.000213978,-0.552358803,1.02165941,-1.108422919,0.218833429,-0.10713832,1.946042174,0.843958509,-1.084588245,0.663756228,1.092528121,1.153635209,-0.769383395,-0.610758613,-0.43878459,-0.945932896
ÍâÔø×æ¸¸-ÍâÔøËï,-0.443052814,1.811498842,0.252298639,0.942399284,-0.080213873,0.575487977,-0.711214113,0.544917969,-1.819440286,-0.961208923,-0.592027601,-0.274522407,-0.083836024,0.524659043,-1.334850568,0.418740014,0.319644641,-1.221980841,-0.643104451,-0.186834088,-0.812425964,-1.252166832,-0.160792678,-1.499263097,-0.454864459,-0.917220754,-0.066762381,-0.955237716,0.546173394,-0.250001533,0.049333621,-0.854652373,-0.523071386
Íâ×æÄ¸-ÍâËïÅ®,0.812580633,-1.100152968,1.512751062,1.172866868,1.717108507,1.296998132,0.786274696,1.24172183,1.031497197,-1.736245021,-0.907822336,-1.737783629,0.993381278,0.849165931,0.881922074,1.50080172,1.664046684,1.250642573,-0.79056613,0.848712461,-0.322069563,0.162972659,-0.630268311,1.408719448,-1.363320967,-1.121978855,1.661110976,1.224800077,0.115627004,-1.131095763,1.312791412,-0.806069688,-1.011755678
Íâ×æÄ¸-ÍâËï×Ó,0.029065362,1.259988192,1.040081403,1.28810066,1.337774135,1.26774772,-0.253304312,1.143733787,0.43651894,-0.757252055,-0.936530948,0.396974181,0.968133998,0.946517998,-0.201387633,1.199609286,1.593288682,-0.951862316,0.026144707,1.136957376,-1.25820451,-2.127318886,0.048794658,1.348346108,0.849355281,-1.121978855,0.742494761,1.151315657,0.350470489,-0.8064821,-0.105375496,-0.980967353,0.753491665
Íâ×æ¸¸-ÍâËïÅ®,-0.483233084,-0.394543755,0.035658378,0.539081012,0.299120499,0.009980019,-0.513199064,0.152965797,1.874383062,-0.165777137,-0.630305751,0.126371079,-0.470960992,-0.351509555,-0.131173115,0.708777172,0.036612632,-0.099950048,-0.121316972,0.133438041,-0.437971985,0.945023431,-0.294928573,0.130817084,0.732425235,-0.365264133,0.78623839,-0.26938313,-0.455825477,0.275563446,0.805689305,-0.602022412,0.175049033
Íâ×æ¸¸-ÍâËï×Ó,0.240011781,-0.929833503,-0.761971671,1.014420404,-0.585993035,0.945993192,-1.441394607,1.731662044,1.626475455,-0.298349102,-1.33845152,-0.114165013,0.437941107,0.605785765,-0.141203761,1.233075112,-1.755923426,-0.058393352,-1.16489193,0.624521971,0.159371267,-2.574205041,-2.139297132,-1.549574213,1.443000128,-1.549300109,1.300226034,1.335026706,-0.917684332,-1.084722383,-0.440578584,-1.389061906,0.544055539
·òÆÞ,1.240500512,1.551964418,1.382766906,-1.131808974,1.505765071,1.074695003,1.432298793,-0.025590193,0.406770027,0.613338099,0.521866554,-1.930212502,0.427842195,0.342935186,1.068492079,0.463361115,0.659283052,1.645431185,0.073786172,0.227384532,0.678257494,1.470114663,-0.076957744,1.076666078,0.951893936,1.062701059,0.42754063,0.445865225,1.632715919,0.547620611,-0.095061555,0.692220313,0.322651635
ÃÃ·ò-ÆÞ½ã,-3.496753358,-0.345881051,-3.095778111,-1.04538363,-2.157521146,-3.324566912,1.417447665,-3.135077422,-2.017766372,2.485662148,-0.477193152,-3.541804314,-1.783819579,-3.239620859,0.069439793,-4.154922868,-2.369159445,1.977884753,-0.756536512,-3.795233401,-0.402309702,-2.071458117,2.33748837,-2.666481004,1.038242278,2.750620014,0.611263873,-2.596389763,-1.645699136,3.459868908,0.513460973,1.321851909,-0.622802874
½ã·ò-ÃÃ·ò,-1.608280653,-0.800066292,-1.914103964,-1.525524431,-2.482664893,-0.399525745,0.204605489,-1.785019942,-0.9269729,1.017172698,0.077840018,-0.775639264,-0.925412041,0.167701466,0.490726902,-0.964514126,-0.32503938,0.911262888,-0.938027809,-0.89143277,-0.330985134,1.391909586,1.230867235,-2.02249871,-0.670735312,0.631818794,-0.613557747,0.24500781,-0.862887518,-0.961060035,0.289992248,0.000402881,0.254834223
½ã·ò-ÆÞµÜ,0.99339185,-0.540531868,-1.825478403,-1.218234319,-1.669805525,-0.194772863,0.192229548,-0.358749539,0.473705081,-0.451316753,-1.051365397,1.088515444,1.0943704,0.605785765,-1.254605404,0.530292767,-0.741725393,0.045498388,-0.348181093,-0.784675394,-0.77676368,-0.730799651,1.230867235,-0.523227433,0.741419854,1.468656251,0.611263873,0.159275987,0.773188763,0.399225794,-0.234299761,-0.193927859,-0.592883427
½ãÃÃ,0.902986242,-0.482136623,1.300049715,-1.033860251,1.332355073,1.086395168,1.343192021,0.405557196,0.139029811,-0.108669214,0.165879762,0.102317469,0.306655248,0.031408573,0.117586891,-0.326432378,0.480029446,0.315616912,-0.007884912,0.176140991,0.004240333,-0.417979342,-0.750990617,0.955919398,-0.008731362,-0.240628767,0.361925186,1.063134353,1.350903737,-0.565340521,-0.435421613,-0.054009726,-0.598867317
½ãµÜ,0.782445431,-0.540531868,0.082925344,-0.90134139,0.150999458,0.770490722,0.288761885,0.470882558,-0.560069642,-0.891863588,0.923787125,0.511228825,0.427842195,0.440287252,-0.436104737,0.864951026,0.91401186,0.54833441,0.073786172,0.611711086,-0.434405757,-0.518528727,0.094065523,-0.106651387,-0.872214776,-0.069700266,-0.346721608,0.107836893,1.332116258,-0.231452181,0.864134972,-0.345505835,-0.395415081
